Movie_ID,Title,Release_Date,Genre,Rating,Duration,Language,Poster_URL
1,Supernova,7/2/2021,Adventure|Sci-Fi|Thriller,1.1,138,French,http://java.com/purus/phasellus/in/felis/donec.jpg?proin=ac&eu=est&mi=lacinia&nulla=nisi&ac=venenatis&enim=tristique&in=fusce&tempor=congue&turpis=diam&nec=id&euismod=ornare&scelerisque=imperdiet&quam=sapien&turpis=urna&adipiscing=pretium&lorem=nisl&vitae=ut&mattis=volutpat
2,Achilles and the Tortoise (Akiresu to kame),9/8/2021,Comedy,2.4,137,Moldovan,http://networkadvertising.org/ipsum/dolor.html?mattis=vestibulum&odio=sed&donec=magna&vitae=at&nisi=nunc&nam=commodo&ultrices=placerat&libero=praesent&non=blandit&mattis=nam&pulvinar=nulla&nulla=integer&pede=pede&ullamcorper=justo&augue=lacinia&a=eget&suscipit=tincidunt&nulla=eget&elit=tempus&ac=vel&nulla=pede&sed=morbi&vel=porttitor
3,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",11/9/2020,Documentary,8.7,146,Macedonian,https://go.com/non/mattis.html?eros=gravida&vestibulum=sem&ac=praesent&est=id&lacinia=massa&nisi=id&venenatis=nisl&tristique=venenatis&fusce=lacinia&congue=aenean&diam=sit&id=amet&ornare=justo&imperdiet=morbi&sapien=ut&urna=odio&pretium=cras&nisl=mi&ut=pede&volutpat=malesuada&sapien=in&arcu=imperdiet&sed=et&augue=commodo&aliquam=vulputate&erat=justo&volutpat=in&in=blandit&congue=ultrices&etiam=enim&justo=lorem&etiam=ipsum&pretium=dolor&iaculis=sit&justo=amet&in=consectetuer&hac=adipiscing&habitasse=elit&platea=proin&dictumst=interdum&etiam=mauris&faucibus=non&cursus=ligula&urna=pellentesque&ut=ultrices&tellus=phasellus&nulla=id&ut=sapien&erat=in&id=sapien&mauris=iaculis&vulputate=congue&elementum=vivamus&nullam=metus&varius=arcu&nulla=adipiscing&facilisi=molestie&cras=hendrerit&non=at&velit=vulputate&nec=vitae&nisi=nisl&vulputate=aenean&nonummy=lectus&maecenas=pellentesque&tincidunt=eget&lacus=nunc&at=donec&velit=quis&vivamus=orci&vel=eget&nulla=orci&eget=vehicula&eros=condimentum&elementum=curabitur&pellentesque=in&quisque=libero&porta=ut&volutpat=massa&erat=volutpat&quisque=convallis&erat=morbi&eros=odio&viverra=odio&eget=elementum&congue=eu&eget=interdum&semper=eu&rutrum=tincidunt&nulla=in&nunc=leo&purus=maecenas&phasellus=pulvinar&in=lobortis&felis=est&donec=phasellus&semper=sit&sapien=amet&a=erat
4,"Odds, The",3/14/2022,Crime|Mystery,2.7,108,Romanian,http://google.com.au/risus/praesent/lectus/vestibulum/quam.jsp?donec=sed&semper=ante&sapien=vivamus&a=tortor&libero=duis&nam=mattis&dui=egestas&proin=metus&leo=aenean&odio=fermentum&porttitor=donec&id=ut&consequat=mauris&in=eget&consequat=massa&ut=tempor&nulla=convallis&sed=nulla&accumsan=neque&felis=libero&ut=convallis&at=eget&dolor=eleifend&quis=luctus&odio=ultricies
5,Dirty Love,2/6/2023,Comedy|Romance,7.6,175,Italian,http://hc360.com/nulla/nunc/purus/phasellus/in/felis/donec.aspx?molestie=pede&hendrerit=justo&at=lacinia&vulputate=eget&vitae=tincidunt
6,Land of Happines (Onnen maa),12/10/2020,Drama,6.2,82,Greek,http://addtoany.com/odio/elementum/eu/interdum/eu/tincidunt.aspx?pede=et&justo=ultrices&eu=posuere&massa=cubilia&donec=curae&dapibus=duis&duis=faucibus&at=accumsan&velit=odio&eu=curabitur&est=convallis&congue=duis&elementum=consequat&in=dui&hac=nec&habitasse=nisi&platea=volutpat&dictumst=eleifend&morbi=donec&vestibulum=ut&velit=dolor&id=morbi&pretium=vel
7,Curly Sue,10/24/2021,Comedy|Drama,3.8,93,Bulgarian,http://wufoo.com/dis.aspx?in=orci&quis=luctus&justo=et&maecenas=ultrices&rhoncus=posuere&aliquam=cubilia&lacus=curae&morbi=duis&quis=faucibus&tortor=accumsan&id=odio&nulla=curabitur&ultrices=convallis&aliquet=duis&maecenas=consequat&leo=dui&odio=nec&condimentum=nisi&id=volutpat&luctus=eleifend&nec=donec&molestie=ut&sed=dolor&justo=morbi&pellentesque=vel&viverra=lectus&pede=in&ac=quam&diam=fringilla&cras=rhoncus&pellentesque=mauris
8,Cry 'Havoc',3/21/2021,Drama|War,3,145,Moldovan,https://mac.com/ac.html?eget=integer&tempus=pede&vel=justo&pede=lacinia&morbi=eget&porttitor=tincidunt&lorem=eget&id=tempus&ligula=vel&suspendisse=pede&ornare=morbi&consequat=porttitor&lectus=lorem&in=id&est=ligula&risus=suspendisse&auctor=ornare&sed=consequat&tristique=lectus&in=in&tempus=est&sit=risus&amet=auctor&sem=sed&fusce=tristique&consequat=in&nulla=tempus&nisl=sit&nunc=amet&nisl=sem&duis=fusce&bibendum=consequat&felis=nulla&sed=nisl&interdum=nunc&venenatis=nisl&turpis=duis&enim=bibendum&blandit=felis&mi=sed&in=interdum&porttitor=venenatis&pede=turpis&justo=enim&eu=blandit&massa=mi&donec=in&dapibus=porttitor&duis=pede&at=justo&velit=eu&eu=massa&est=donec&congue=dapibus&elementum=duis&in=at&hac=velit&habitasse=eu&platea=est&dictumst=congue&morbi=elementum&vestibulum=in&velit=hac&id=habitasse&pretium=platea&iaculis=dictumst&diam=morbi&erat=vestibulum&fermentum=velit&justo=id&nec=pretium&condimentum=iaculis&neque=diam&sapien=erat&placerat=fermentum&ante=justo&nulla=nec&justo=condimentum&aliquam=neque&quis=sapien&turpis=placerat&eget=ante&elit=nulla&sodales=justo&scelerisque=aliquam&mauris=quis&sit=turpis&amet=eget&eros=elit&suspendisse=sodales
9,Brimstone and Treacle,1/22/2020,Drama|Thriller,1.3,133,,http://plala.or.jp/elementum/nullam/varius/nulla/facilisi.html?primis=in&in=sapien
10,Charlie Chan in The Chinese Cat,7/29/2021,Comedy|Crime|Mystery|Thriller,5.8,151,Georgian,https://rakuten.co.jp/ultrices/posuere/cubilia/curae.jpg?est=metus&lacinia=aenean&nisi=fermentum&venenatis=donec&tristique=ut&fusce=mauris&congue=eget&diam=massa&id=tempor&ornare=convallis&imperdiet=nulla&sapien=neque&urna=libero&pretium=convallis&nisl=eget&ut=eleifend&volutpat=luctus&sapien=ultricies&arcu=eu&sed=nibh&augue=quisque&aliquam=id&erat=justo&volutpat=sit&in=amet&congue=sapien&etiam=dignissim&justo=vestibulum&etiam=vestibulum&pretium=ante&iaculis=ipsum&justo=primis&in=in&hac=faucibus&habitasse=orci&platea=luctus&dictumst=et&etiam=ultrices&faucibus=posuere&cursus=cubilia&urna=curae&ut=nulla&tellus=dapibus&nulla=dolor&ut=vel&erat=est&id=donec&mauris=odio&vulputate=justo&elementum=sollicitudin&nullam=ut&varius=suscipit&nulla=a&facilisi=feugiat&cras=et&non=eros&velit=vestibulum&nec=ac&nisi=est&vulputate=lacinia&nonummy=nisi&maecenas=venenatis
